loan_application_no,disbursed_date,disbursed_amount,source_entity_name,final_tpv,score,gender,age,industryy,status,city,state,pincode,disbursed_year,disbursed_month,disbursed_quarter,score_band,age_band,city_clean,is_metro_city,loan_to_tpv,amount_per_age,amount_x_score,predicted_income
5243,2024-12-25,48893.0,PPP,55982.8,741,Male,33.0,Retail And Shopping,CLOSED,North Delhi,Delhi,110084.0,2024.0,12.0,4.0,700-749,31-35,north delhi,0,0.8733575312417385,1481.6060606060605,36229713.0,55993.22805000009
5244,2024-12-26,28587.0,BBB,5884.0,749,Male,28.0,Automobiles,DISBURSED,Kanpur,Uttar Pradesh,208020.0,2024.0,12.0,4.0,700-749,26-30,kanpur,0,4.8584296397008835,1020.9642857142857,21411663.0,5943.654999999998
5245,2024-12-25,33971.0,BBB,23629.0,741,Male,26.0,Grocery And Daily Needs,CLOSED,Mumbai,Maharashtra,400058.0,2024.0,12.0,4.0,700-749,26-30,mumbai,1,1.4376825087815819,1306.576923076923,25172511.0,23819.61155
5246,2024-12-25,23967.0,PPP,23451.33,777,Male,49.0,Service And Utilities,CLOSED,Kota,Rajasthan,324002.0,2024.0,12.0,4.0,>750,46-60,kota,0,1.0219889447634738,489.1224489795918,18622359.0,23690.618850000043
5247,2024-12-25,63274.0,PPP,34452.6,773,Male,51.0,Retail And Shopping,DISBURSED,Ranchi,Jharkhand,834001.0,2024.0,12.0,4.0,>750,46-60,ranchi,0,1.8365522485966226,1240.6666666666667,48910802.0,34215.04380000002
5248,2024-12-25,56563.0,PPP,24042.66,775,Male,60.0,Grocery And Daily Needs,DISBURSED,Khorda,Odisha,752050.0,2024.0,12.0,4.0,>750,46-60,khorda,0,2.3526099025648577,942.7166666666667,43836325.0,24056.14940000006
5249,2024-12-27,169398.0,BBB,18681.0,775,Male,48.0,Grocery And Daily Needs,DISBURSED,Karim Nagar,TELANGANA,505188.0,2024.0,12.0,4.0,>750,46-60,karim nagar,0,9.067929982334993,3529.125,131283450.0,18587.645
5250,2024-12-24,93952.0,PPP,37812.19,757,Male,42.0,Grocery And Daily Needs,DISBURSED,East Midnapore,West Bengal,721607.0,2024.0,12.0,4.0,>750,36-45,east midnapore,0,2.4847013621797625,2236.9523809523807,71121664.0,37822.50310000011
5251,2024-12-24,9646.0,PPP,14005.6,709,Male,34.0,Food & Beverages,CLOSED,Karnal,Haryana,132001.0,2024.0,12.0,4.0,700-749,31-35,karnal,0,0.6887245101959216,283.70588235294116,6839014.0,14539.096449999995
5252,2024-12-24,140928.0,PPP,28948.66,773,Male,38.0,Grocery And Daily Needs,DISBURSED,Kalaburagi,Karnataka,585101.0,2024.0,12.0,4.0,>750,36-45,kalaburagi,0,4.868204607743502,3708.6315789473683,108937344.0,29181.347500000065
5253,2024-12-24,9587.0,PPP,18287.8,749,Male,35.0,Food & Beverages,DISBURSED,Pune,Maharashtra,411017.0,2024.0,12.0,4.0,700-749,31-35,pune,1,0.5242292675991644,273.9142857142857,7180663.0,18230.88254999997
5254,2024-12-24,153392.0,PPP,40411.66,750,Female,51.0,Grocery And Daily Needs,DISBURSED,Yadgir,Karnataka,585223.0,2024.0,12.0,4.0,700-749,46-60,yadgir,0,3.7957361810922885,3007.6862745098038,115044000.0,40040.21550000008
5255,2025-01-15,18879.0,TTT,7500.0,768,Female,30.0,Retail And Shopping,DISBURSED,Varanasi,Uttar Pradesh,221003.0,2025.0,1.0,1.0,>750,26-30,varanasi,0,2.5172,629.3,14499072.0,7500.215
5256,2024-12-24,216070.0,PPP,81695.33,757,Male,29.0,Grocery And Daily Needs,CLOSED,Faridabad,Haryana,121003.0,2024.0,12.0,4.0,>750,26-30,faridabad,0,2.6448268218024213,7450.689655172414,163564990.0,81914.19350000005
5257,2025-01-10,195324.0,TTT,42500.0,742,Male,32.0,Others,DISBURSED,KVRangareddy,Telangana,500060.0,2025.0,1.0,1.0,700-749,31-35,kvrangareddy,0,4.5958588235294116,6103.875,144930408.0,42525.8033
5258,2025-01-10,195324.0,TTT,42500.0,0,Unknown,37.0,Others,DISBURSED,KVRangareddy,Telangana,500060.0,2025.0,1.0,1.0,<600,36-45,kvrangareddy,0,4.5958588235294116,5279.027027027027,0.0,42621.05730000001
5259,2024-12-24,33351.0,BBB,17627.0,739,Female,33.0,Grocery And Daily Needs,CLOSED,Vijaywada,Andhra Pradesh,520004.0,2024.0,12.0,4.0,700-749,31-35,vijaywada,0,1.8920406195041697,1010.6363636363636,24646389.0,17538.6638
5260,2024-12-24,38824.0,BBB,65354.0,702,Female,27.0,Others,DISBURSED,Pune,Maharashtra,411047.0,2024.0,12.0,4.0,700-749,26-30,pune,1,0.5940569819750895,1437.9259259259259,27254448.0,65555.4466
5261,2025-01-10,60601.0,TTT,32500.0,774,Female,31.0,Others,DISBURSED,Tiruvallur,Tamil Nadu,600071.0,2025.0,1.0,1.0,>750,31-35,tiruvallur,0,1.8646461538461538,1954.8709677419354,46905174.0,32551.505
5262,2024-12-24,54645.0,PPP,54105.5,748,Male,45.0,Service And Utilities,DISBURSED,Bengaluru,Karnataka,560057.0,2024.0,12.0,4.0,700-749,36-45,bengaluru,1,1.0099712598534345,1214.3333333333333,40874460.0,52994.446550000015
5263,2025-01-02,45336.0,PPP,28482.66,746,Male,30.0,Service And Utilities,CLOSED,Kota,Rajasthan,324008.0,2025.0,1.0,1.0,700-749,26-30,kota,0,1.5917052691005686,1511.2,33820656.0,28449.615300000063
5264,2024-12-24,9587.0,PPP,31277.33,757,Male,38.0,Healthcare And Wellness,CLOSED,Tiruvallur,Tamil Nadu,600019.0,2024.0,12.0,4.0,>750,36-45,tiruvallur,0,0.30651593342526356,252.28947368421052,7257359.0,31315.849650000055
5265,2025-01-10,70070.0,TTT,37500.0,822,Male,45.0,Food & Beverages,DISBURSED,Mumbai,Maharashtra,400099.0,2025.0,1.0,1.0,>750,36-45,mumbai,1,1.8685333333333334,1557.111111111111,57597540.0,37425.91565
5266,2024-12-23,39548.0,PPP,30283.83,768,Male,37.0,Grocery And Daily Needs,CLOSED,North Parganas,West Bengal,700058.0,2024.0,12.0,4.0,>750,36-45,north parganas,0,1.3059114385465773,1068.8648648648648,30372864.0,30599.912650000042
5267,2024-12-24,282330.0,BBB,241937.0,750,Male,37.0,Wholesale_Distributor,DISBURSED,Vellore,Tamil Nadu,606803.0,2024.0,12.0,4.0,700-749,36-45,vellore,0,1.1669566870714276,7630.540540540541,211747500.0,246773.47969999973
5268,2024-12-23,470550.0,BBB,164790.0,741,Male,47.0,Grocery And Daily Needs,DISBURSED,Pune,Maharashtra,412105.0,2024.0,12.0,4.0,700-749,46-60,pune,1,2.855452393955944,10011.702127659575,348677550.0,165753.33035
5269,2024-12-23,11504.0,PPP,13223.0,775,Male,29.0,Grocery And Daily Needs,CLOSED,Muzaffarnagar,Uttar Pradesh,251306.0,2024.0,12.0,4.0,>750,26-30,muzaffarnagar,0,0.8699992437419648,396.6896551724138,8915600.0,13265.381250000004
5270,2025-01-15,47345.0,TTT,27500.0,138,Male,43.0,Food & Beverages,DISBURSED,Kolkata,West Bengal,700032.0,2025.0,1.0,1.0,<600,36-45,kolkata,1,1.7216363636363636,1101.046511627907,6533610.0,27587.991250000006
5271,2024-12-23,282330.0,BBB,44109.0,757,Male,33.0,Grocery And Daily Needs,DISBURSED,Navsari,Gujarat,396415.0,2024.0,12.0,4.0,>750,31-35,navsari,0,6.400734543970618,8555.454545454546,213723810.0,44095.079000000005
5272,2024-12-23,51123.0,PPP,22203.0,746,Female,34.0,Food & Beverages,DISBURSED,Chittoor,Andhra Pradesh,517501.0,2024.0,12.0,4.0,700-749,31-35,chittoor,0,2.3025266855830293,1503.6176470588234,38137758.0,22309.23415000001
5273,2025-01-10,108282.0,TTT,32500.0,756,Male,25.0,Others,DISBURSED,Rajkot,Gujarat,360007.0,2025.0,1.0,1.0,>750,22-25,rajkot,0,3.331753846153846,4331.28,81861192.0,32469.557
5274,2024-12-23,35471.0,PPP,41138.33,747,Male,44.0,Retail And Shopping,CLOSED,South West Delhi,Delhi,110046.0,2024.0,12.0,4.0,700-749,36-45,south west delhi,0,0.8622372371459901,806.1590909090909,26496837.0,41310.69880000008
5275,2024-12-23,84365.0,PPP,28817.66,734,Male,31.0,Retail And Shopping,DISBURSED,Ranchi,Jharkhand,834001.0,2024.0,12.0,4.0,700-749,31-35,ranchi,0,2.9275451233722656,2721.451612903226,61923910.0,28490.158200000034
5276,2024-12-23,191740.0,PPP,99563.66,740,Female,29.0,Grocery And Daily Needs,CLOSED,Visakhapatnam,Andhra Pradesh,530049.0,2024.0,12.0,4.0,700-749,26-30,visakhapatnam,0,1.9258030490241118,6611.724137931034,141887600.0,99132.94265000008
5277,2024-12-23,61938.0,BBB,48175.0,701,Male,47.0,Grocery And Daily Needs,DISBURSED,Nagaur,Rajasthan,341304.0,2024.0,12.0,4.0,700-749,46-60,nagaur,0,1.285687597301505,1317.8297872340424,43418538.0,47539.30620000001
5278,2024-12-23,29719.0,PPP,18673.5,717,Male,26.0,Retail And Shopping,CLOSED,Jalpaiguri,West Bengal,734006.0,2024.0,12.0,4.0,700-749,26-30,jalpaiguri,0,1.591506680590141,1143.0384615384614,21308523.0,18652.797800000004
5279,2024-12-24,141165.0,BBB,75730.0,757,Male,28.0,Automobiles,DISBURSED,Pune,Maharashtra,411018.0,2024.0,12.0,4.0,>750,26-30,pune,1,1.8640565165720322,5041.607142857143,106861905.0,75767.35735
5280,2025-01-10,61548.0,TTT,27500.0,742,Male,49.0,Retail And Shopping,DISBURSED,Sasram,Bihar,821115.0,2025.0,1.0,1.0,700-749,46-60,sasram,0,2.238109090909091,1256.0816326530612,45668616.0,27528.886400000007
5281,2024-12-23,90525.0,BBB,12812.0,784,Male,52.0,Grocery And Daily Needs,DISBURSED,Mysore,Karnataka,570019.0,2024.0,12.0,4.0,>750,46-60,mysore,0,7.065641586013113,1740.8653846153845,70971600.0,12024.09
5282,2024-12-23,60398.0,PPP,69968.66,738,Male,34.0,Healthcare And Wellness,CLOSED,Pune,Maharashtra,412308.0,2024.0,12.0,4.0,700-749,31-35,pune,1,0.8632150451359223,1776.4117647058824,44573724.0,69414.4931000001
5283,2024-12-23,114348.0,BBB,17390.0,757,Male,36.0,Grocery And Daily Needs,DISBURSED,Indore,Madhya Pradesh,452016.0,2024.0,12.0,4.0,>750,36-45,indore,0,6.575503162737205,3176.3333333333335,86561436.0,17703.31455
5284,2024-12-23,104819.0,BBB,12863.0,744,Male,37.0,Automobiles,DISBURSED,East Godavari,Andhra Pradesh,533255.0,2024.0,12.0,4.0,700-749,36-45,east godavari,0,8.148876622871803,2832.945945945946,77985336.0,12822.98
5285,2024-12-23,479350.0,PPP,254855.5,758,Female,30.0,Food & Beverages,CLOSED,Pune,Maharashtra,410507.0,2024.0,12.0,4.0,>750,26-30,pune,1,1.8808697477590242,15978.333333333334,363347300.0,253563.8580499998
5286,2024-12-23,188220.0,BBB,67482.0,755,Male,29.0,Others,DISBURSED,Nashik,Maharashtra,422006.0,2024.0,12.0,4.0,>750,26-30,nashik,0,2.789188227971904,6490.3448275862065,142106100.0,66168.7155
5287,2024-12-23,9587.0,PPP,289695.66,0,Unknown,37.0,Grocery And Daily Needs,CLOSED,Khammam,Telangana,507101.0,2024.0,12.0,4.0,<600,36-45,khammam,0,0.033093350449226615,259.1081081081081,0.0,291224.7487999987
5288,2024-12-23,9587.0,PPP,289695.66,731,Male,38.0,Grocery And Daily Needs,CLOSED,Khammam,Telangana,507101.0,2024.0,12.0,4.0,700-749,36-45,khammam,0,0.033093350449226615,252.28947368421052,7008097.0,288997.0871999988
5289,2024-12-23,71467.0,BBB,11225.0,714,Male,48.0,Grocery And Daily Needs,DISBURSED,Tumkur,Karnataka,572213.0,2024.0,12.0,4.0,700-749,46-60,tumkur,0,6.366770601336303,1488.8958333333333,51027438.0,11652.76
5290,2025-01-17,230577.0,TTT,102500.0,762,Male,27.0,Others,DISBURSED,Avinashi,Tamil Nadu,641654.0,2025.0,1.0,1.0,>750,26-30,avinashi,0,2.249531707317073,8539.888888888889,175699674.0,103487.14640000001
5291,2024-12-23,95870.0,PPP,188910.66,780,Male,32.0,Food & Beverages,DISBURSED,Ghaziabad,Uttar Pradesh,201005.0,2024.0,12.0,4.0,>750,31-35,ghaziabad,0,0.5074885662884244,2995.9375,74778600.0,193844.02024999956
5292,2025-01-13,470550.0,BBB,206065.0,727,Male,32.0,Grocery And Daily Needs,DISBURSED,Gurgaon,Haryana,122001.0,2025.0,1.0,1.0,700-749,31-35,gurgaon,0,2.2835027782495816,14704.6875,342089850.0,205980.03934999986
5293,2024-12-23,47935.0,PPP,299133.66,0,Unknown,37.0,Grocery And Daily Needs,CLOSED,Hyderabad,Telangana,500078.0,2024.0,12.0,4.0,<600,36-45,hyderabad,1,0.1602460919978046,1295.5405405405406,0.0,284258.7242499988
5294,2024-12-23,47935.0,PPP,299133.66,714,Male,38.0,Grocery And Daily Needs,CLOSED,Hyderabad,Telangana,500078.0,2024.0,12.0,4.0,700-749,36-45,hyderabad,1,0.1602460919978046,1261.4473684210527,34225590.0,292888.9109999987
5295,2024-12-23,38824.0,BBB,10910.0,722,Male,32.0,Grocery And Daily Needs,CLOSED,Mahabub Nagar,TELANGANA,509228.0,2024.0,12.0,4.0,700-749,31-35,mahabub nagar,0,3.558570119156737,1213.25,28030928.0,10926.1463
5296,2024-12-23,32938.0,BBB,4689.2,812,Male,40.0,Food & Beverages,DISBURSED,Darbhanga,Bihar,846002.0,2024.0,12.0,4.0,>750,36-45,darbhanga,0,7.024225880747249,823.45,26745656.0,4708.849999999988
5297,2025-01-15,175722.0,TTT,52500.0,688,Male,53.0,Retail And Shopping,DISBURSED,West Delhi,Delhi,110041.0,2025.0,1.0,1.0,600-699,46-60,west delhi,0,3.3470857142857144,3315.509433962264,120896736.0,52591.63479999999
5298,2024-12-23,19174.0,PPP,24389.0,781,Male,44.0,Food & Beverages,CLOSED,Jalandhar,Punjab,144003.0,2024.0,12.0,4.0,>750,36-45,jalandhar,0,0.7861740948788388,435.77272727272725,14974894.0,24192.147749999993
5299,2024-12-23,16500.0,BBB,4689.2,756,Male,23.0,Service And Utilities,CLOSED,Ujjain,Madhya Pradesh,456001.0,2024.0,12.0,4.0,>750,22-25,ujjain,0,3.51872387614092,717.3913043478261,12474000.0,4768.711999999987
5300,2024-12-23,38115.0,BBB,61095.0,756,Male,50.0,Grocery And Daily Needs,DISBURSED,Adilabad,TELANGANA,504205.0,2024.0,12.0,4.0,>750,46-60,adilabad,0,0.6238644733611588,762.3,28814940.0,61061.27625000001
5301,2024-12-23,12539.0,PPP,14897.66,716,Female,24.0,Food & Beverages,CLOSED,Kozhikode,Kerala,673315.0,2024.0,12.0,4.0,700-749,22-25,kozhikode,0,0.8416758068045586,522.4583333333334,8977924.0,14756.404350000015
5302,2024-12-23,287610.0,PPP,147419.33,736,Male,39.0,Healthcare And Wellness,DISBURSED,Chhatrapati Sambhajinagar,Maharashtra,431003.0,2024.0,12.0,4.0,700-749,36-45,chhatrapati sambhajinagar,0,1.9509653177775264,7374.615384615385,211680960.0,147627.7213999994
5303,2024-12-23,470550.0,BBB,103387.0,737,Male,30.0,Food & Beverages,DISBURSED,Delhi,Delhi,110060.0,2024.0,12.0,4.0,700-749,26-30,delhi,1,4.5513459138963315,15685.0,346795350.0,103684.21225
5304,2024-12-23,142935.0,BBB,337114.0,785,Male,26.0,Others,DISBURSED,Anantapur,Andhra Pradesh,515411.0,2024.0,12.0,4.0,>750,26-30,anantapur,0,0.4239960369489253,5497.5,112203975.0,338644.8095999999
5305,2024-12-23,40265.0,PPP,13450.5,774,Male,36.0,Retail And Shopping,CLOSED,North Parganas,West Bengal,743249.0,2024.0,12.0,4.0,>750,36-45,north parganas,0,2.993569012304375,1118.4722222222222,31165110.0,13791.289700000021
5306,2024-12-24,79097.0,PPP,67263.5,767,Male,32.0,Grocery And Daily Needs,DISBURSED,Gautam Buddha Nagar,Uttar Pradesh,201306.0,2024.0,12.0,4.0,>750,31-35,gautam buddha nagar,0,1.1759275089758934,2471.78125,60667399.0,65333.344250000024
5307,2024-12-23,479350.0,PPP,83224.0,778,Male,54.0,Food & Beverages,DISBURSED,Kanchipuram,Tamil Nadu,600061.0,2024.0,12.0,4.0,>750,46-60,kanchipuram,0,5.759756800922811,8876.851851851852,372934300.0,82523.04110000002
5308,2024-12-23,47645.0,BBB,28445.0,757,Male,28.0,Food & Beverages,DISBURSED,Bijapur,Karnataka,586101.0,2024.0,12.0,4.0,>750,26-30,bijapur,0,1.674986816663737,1701.607142857143,36067265.0,28495.63110000001
5309,2024-12-23,76696.0,PPP,78643.33,785,Male,30.0,Retail And Shopping,CLOSED,Bhagalpur,Bihar,812001.0,2024.0,12.0,4.0,>750,26-30,bhagalpur,0,0.9752384595108066,2556.5333333333333,60206360.0,79513.98115000007
5310,2024-12-23,285870.0,BBB,238951.0,759,Male,48.0,Grocery And Daily Needs,DISBURSED,Dharmapuri,Tamil Nadu,635111.0,2024.0,12.0,4.0,>750,46-60,dharmapuri,0,1.196354064222372,5955.625,216975330.0,238693.33174999963
5311,2024-12-23,69026.0,PPP,19185.33,770,Male,42.0,Grocery And Daily Needs,DISBURSED,South West Delhi,Delhi,110037.0,2024.0,12.0,4.0,>750,36-45,south west delhi,0,3.597853151340112,1643.4761904761904,53150020.0,19385.035250000034
5312,2025-01-09,23822.0,BBB,8747.0,752,Male,38.0,Food & Beverages,DISBURSED,Vijaywada,Andhra Pradesh,521101.0,2025.0,1.0,1.0,>750,36-45,vijaywada,0,2.7234480393277694,626.8947368421053,17914144.0,8711.79495
5313,2024-12-23,61356.0,PPP,17130.59,764,Female,43.0,Retail And Shopping,DISBURSED,Kamrup,Assam,781017.0,2024.0,12.0,4.0,>750,36-45,kamrup,0,3.581662978332912,1426.8837209302326,46875984.0,17201.347049999986
5314,2024-12-23,37644.0,BBB,16822.0,730,Male,33.0,Grocery And Daily Needs,DISBURSED,Rewa,Madhya Pradesh,486001.0,2024.0,12.0,4.0,700-749,31-35,rewa,0,2.237783854476281,1140.7272727272727,27480120.0,16982.3194
5315,2024-12-23,95870.0,PPP,163612.0,753,Male,36.0,Retail And Shopping,CLOSED,Pune,Maharashtra,411037.0,2024.0,12.0,4.0,>750,36-45,pune,1,0.5859594650759113,2663.0555555555557,72190110.0,163439.96589999992
5316,2024-12-23,114348.0,BBB,53846.0,739,Male,31.0,Grocery And Daily Needs,DISBURSED,Dharmapuri,Tamil Nadu,635306.0,2024.0,12.0,4.0,700-749,31-35,dharmapuri,0,2.123611781747948,3688.6451612903224,84503172.0,54097.88535000001
5317,2024-12-23,38824.0,BBB,23269.0,136,Male,38.0,Automobiles,CLOSED,Hisar,Haryana,125121.0,2024.0,12.0,4.0,<600,36-45,hisar,0,1.6684859684558855,1021.6842105263158,5280064.0,22767.07335000001
5318,2024-12-23,148548.0,PPP,27102.66,805,Male,38.0,Food & Beverages,DISBURSED,East Godavari,Andhra Pradesh,533247.0,2024.0,12.0,4.0,>750,36-45,east godavari,0,5.480938033388605,3909.157894736842,119581140.0,27443.09310000006
5319,2024-12-23,24482.0,BBB,18733.0,135,Male,32.0,Food & Beverages,CLOSED,Cuddapah,Andhra Pradesh,516360.0,2024.0,12.0,4.0,<600,31-35,cuddapah,0,1.306891581700742,765.0625,3305070.0,18542.264300000003
5320,2024-12-23,288568.0,PPP,138166.83,768,Male,28.0,Food & Beverages,DISBURSED,Pune,Maharashtra,413106.0,2024.0,12.0,4.0,>750,26-30,pune,1,2.0885475913430165,10306.0,221620224.0,137326.11784999963
5321,2024-12-23,47055.0,BBB,21991.0,745,Male,40.0,Grocery And Daily Needs,DISBURSED,Ludhiana,Punjab,141015.0,2024.0,12.0,4.0,700-749,36-45,ludhiana,0,2.1397389841298713,1176.375,35055975.0,22100.718800000002
5322,2024-12-23,139867.0,PPP,43563.66,755,Male,23.0,Grocery And Daily Needs,CLOSED,Bengaluru,Karnataka,560003.0,2024.0,12.0,4.0,>750,22-25,bengaluru,1,3.2106347354652933,6081.173913043478,105599585.0,43469.68150000007
5323,2024-12-23,35471.0,PPP,15090.8,747,Female,32.0,Retail And Shopping,DISBURSED,Nashik,Maharashtra,422010.0,2024.0,12.0,4.0,700-749,31-35,nashik,0,2.3505049434092298,1108.46875,26496837.0,15046.098699999988
5324,2024-12-23,289380.0,PPP,57592.83,703,Male,47.0,Healthcare And Wellness,DISBURSED,Pune,Maharashtra,411001.0,2024.0,12.0,4.0,700-749,46-60,pune,1,5.024583789336277,6157.021276595745,203434140.0,56399.55750000004
5325,2024-12-23,33971.0,BBB,15818.0,755,Female,43.0,Grocery And Daily Needs,CLOSED,Faridabad,Haryana,121013.0,2024.0,12.0,4.0,>750,36-45,faridabad,0,2.1476166392717158,790.0232558139535,25648105.0,15823.003199999996
5326,2024-12-23,94911.0,PPP,51667.0,721,Male,42.0,Food & Beverages,DISBURSED,Vijayapura,Karnataka,586103.0,2024.0,12.0,4.0,700-749,36-45,vijayapura,0,1.836975245320998,2259.785714285714,68430831.0,51756.027350000004
5327,2024-12-23,107374.0,PPP,50940.5,714,Male,29.0,Food & Beverages,CLOSED,Mumbai,Maharashtra,400104.0,2024.0,12.0,4.0,700-749,26-30,mumbai,1,2.107831685986592,3702.551724137931,76665036.0,50711.00965000001
5328,2024-12-23,252725.0,PPP,37012.66,773,Male,47.0,Food & Beverages,DISBURSED,Faridabad,Haryana,121005.0,2024.0,12.0,4.0,>750,46-60,faridabad,0,6.828069098519263,5377.127659574468,195356425.0,37224.55495000008
5329,2024-12-23,97060.0,BBB,63324.0,773,Female,50.0,Food & Beverages,CLOSED,Cuddapah,Andhra Pradesh,516115.0,2024.0,12.0,4.0,>750,46-60,cuddapah,0,1.5327521950603247,1941.2,75027380.0,63437.41540000001
5330,2024-12-23,38824.0,BBB,8617.0,763,Male,49.0,Grocery And Daily Needs,CLOSED,Perur,Tamil Nadu,641010.0,2024.0,12.0,4.0,>750,46-60,perur,0,4.505512359289776,792.3265306122449,29622712.0,8366.325
5331,2024-12-23,238225.0,BBB,38077.0,746,Male,25.0,Grocery And Daily Needs,DISBURSED,Pune,Maharashtra,411028.0,2024.0,12.0,4.0,700-749,22-25,pune,1,6.2564015022191874,9529.0,177715850.0,38303.87200000001
5332,2024-12-23,43141.0,PPP,50010.0,773,Female,30.0,Grocery And Daily Needs,CLOSED,Gurgaon,Haryana,122003.0,2024.0,12.0,4.0,>750,26-30,gurgaon,0,0.8626474705058989,1438.0333333333333,33347993.0,49012.47785000004
5333,2025-01-15,41663.0,TTT,22500.0,136,Male,28.0,Retail And Shopping,DISBURSED,Bareilly,Uttar Pradesh,243001.0,2025.0,1.0,1.0,<600,26-30,bareilly,0,1.851688888888889,1487.9642857142858,5666168.0,22500.0
5334,2024-12-23,38824.0,BBB,60296.0,746,Male,43.0,Food & Beverages,CLOSED,Kolkata,West Bengal,700059.0,2024.0,12.0,4.0,700-749,36-45,kolkata,1,0.6438901419662996,902.8837209302326,28962704.0,61069.33160000001
5335,2024-12-23,95870.0,PPP,128563.5,746,Male,46.0,Grocery And Daily Needs,DISBURSED,Patna,Bihar,800024.0,2024.0,12.0,4.0,700-749,46-60,patna,0,0.7457015404838854,2084.1304347826085,71519020.0,129289.14074999999
5336,2024-12-23,28761.0,PPP,13827.5,786,Male,52.0,Food & Beverages,DISBURSED,Karim Nagar,Telangana,505001.0,2024.0,12.0,4.0,>750,46-60,karim nagar,0,2.079985536069427,553.0961538461538,22606146.0,13884.81590000001
5337,2024-12-23,52728.0,PPP,23009.66,730,Male,49.0,Food & Beverages,DISBURSED,Kamrup,Assam,781003.0,2024.0,12.0,4.0,700-749,46-60,kamrup,0,2.2915592842310577,1076.0816326530612,38491440.0,22967.886900000052
5338,2024-12-23,282330.0,BBB,54828.0,741,Male,40.0,Food & Beverages,DISBURSED,Sangli,Maharashtra,415304.0,2024.0,12.0,4.0,700-749,36-45,sangli,0,5.149376231122784,7058.25,209206530.0,54765.67450000001
5339,2024-12-23,35471.0,PPP,41372.19,740,Male,46.0,Healthcare And Wellness,CLOSED,North Parganas,West Bengal,700055.0,2024.0,12.0,4.0,700-749,46-60,north parganas,0,0.8573633641342167,771.1086956521739,26248540.0,41481.27430000014
5340,2024-12-23,47645.0,BBB,55877.0,748,Male,22.0,Grocery And Daily Needs,DISBURSED,Dehradun,Uttarakhand,249204.0,2024.0,12.0,4.0,700-749,22-25,dehradun,0,0.8526764142670509,2165.681818181818,35638460.0,55973.55020000001
5341,2024-12-23,96460.0,PPP,34588.66,772,Male,42.0,Healthcare And Wellness,DISBURSED,Raichur,Karnataka,584101.0,2024.0,12.0,4.0,>750,36-45,raichur,0,2.7887752806844786,2296.6666666666665,74467120.0,34993.62255000003
5342,2024-12-23,30678.0,PPP,10701.66,709,Male,32.0,Others,DISBURSED,Kalaburagi,Karnataka,585101.0,2024.0,12.0,4.0,700-749,31-35,kalaburagi,0,2.8666580698695343,958.6875,21750702.0,10671.334949999973
5343,2024-12-23,75288.0,BBB,9821.0,746,Male,31.0,Others,DISBURSED,Nalgonda,TELANGANA,508207.0,2024.0,12.0,4.0,700-749,31-35,nalgonda,0,7.666021790041747,2428.6451612903224,56164848.0,9336.875
5344,2024-12-24,59439.0,PPP,24160.0,775,Male,43.0,Food & Beverages,DISBURSED,Solapur,Maharashtra,413006.0,2024.0,12.0,4.0,>750,36-45,solapur,0,2.460223509933775,1382.3023255813953,46065225.0,24115.70725000001
5345,2024-12-19,103539.0,PPP,81083.83,732,Male,50.0,Food & Beverages,CLOSED,Firozpur,Punjab,152116.0,2024.0,12.0,4.0,700-749,46-60,firozpur,0,1.2769377075552548,2070.78,75790548.0,79576.62660000003
5346,2024-12-19,9587.0,PPP,91083.83,757,Male,54.0,Food & Beverages,CLOSED,Gautam Buddha Nagar,Uttar Pradesh,201301.0,2024.0,12.0,4.0,>750,46-60,gautam buddha nagar,0,0.10525468680884412,177.53703703703704,7257359.0,90790.01649999995
5347,2025-08-28,47050.0,TTT,42500.0,761,Male,38.0,Food & Beverages,DISBURSED,West Godavari,Andhra Pradesh,534275.0,2025.0,8.0,3.0,>750,36-45,west godavari,0,1.1070588235294119,1238.157894736842,35805050.0,42510.7741
5348,2025-08-28,9528.0,TTT,4689.2,753,Male,22.0,Retail And Shopping,DISBURSED,Mysuru District,Karnataka,571134.0,2025.0,8.0,3.0,>750,22-25,mysuru district,0,2.031903096477011,433.09090909090907,7174584.0,4713.0939999999855
5349,2025-08-28,28584.0,PPP,47402.0,721,Male,30.0,Grocery And Daily Needs,DISBURSED,Jaipur,Rajasthan,302012.0,2025.0,8.0,3.0,700-749,26-30,jaipur,0,0.6030125311168305,952.8,20609064.0,47663.437800000014
5350,2025-08-28,176268.0,PPP,78360.8,781,Male,32.0,Grocery And Daily Needs,DISBURSED,Patna,Bihar,800001.0,2025.0,8.0,3.0,>750,31-35,patna,0,2.2494410470541393,5508.375,137665308.0,77526.90090000017
5351,2025-08-28,94100.0,TTT,32500.0,773,Male,32.0,Others,DISBURSED,Kanpur Nagar,Uttar Pradesh,208027.0,2025.0,8.0,3.0,>750,31-35,kanpur nagar,0,2.8953846153846152,2940.625,72739300.0,32515.5346
5352,2025-08-28,109498.0,TTT,37500.0,786,Male,28.0,Retail And Shopping,DISBURSED,RAIGAD,Maharashtra,410206.0,2025.0,8.0,3.0,>750,26-30,raigad,0,2.9199466666666667,3910.6428571428573,86065428.0,37588.644550000026
5353,2025-08-27,479350.0,PPP,253070.07,757,Male,26.0,Food & Beverages,DISBURSED,Rewari,Haryana,123401.0,2025.0,8.0,3.0,>750,26-30,rewari,0,1.8941394373502958,18436.53846153846,362867950.0,252912.78259999995
